Date,Price
12/31/2025,4.9678
12/30/2025,4.97475
12/29/2025,4.98135
12/26/2025,4.96365
12/25/2025,4.99055
12/24/2025,4.98625
12/23/2025,4.9784
12/22/2025,4.9539
12/19/2025,4.93225
12/18/2025,5.0024
12/17/2025,4.998
12/16/2025,5.02865
12/15/2025,5.01375
12/12/2025,4.99535
12/11/2025,5.0016
12/10/2025,4.98645
12/9/2025,4.96075
12/8/2025,4.99005
12/5/2025,5.01135
12/4/2025,5.01815
12/3/2025,5.01375
12/2/2025,4.99435
12/1/2025,5.0096
11/28/2025,4.98535
11/27/2025,4.97705
11/26/2025,4.97085
11/25/2025,4.9824
11/24/2025,4.95915
11/21/2025,4.9762
11/20/2025,4.9427
11/19/2025,4.95705
11/18/2025,5.00585
11/17/2025,5.00745
11/14/2025,5.0295
11/13/2025,5.02775
11/12/2025,5.0208
11/11/2025,5.0419
11/10/2025,5.043
11/7/2025,5.0689
11/6/2025,5.0798
11/5/2025,5.0446
11/4/2025,5.05915
11/3/2025,5.04
10/31/2025,5.04575
10/30/2025,5.0413
10/29/2025,5.0881
10/28/2025,5.1078
10/27/2025,5.0812
10/24/2025,5.08285
10/23/2025,5.0939
10/22/2025,5.11355
10/21/2025,5.1154
10/20/2025,5.153
10/17/2025,5.1568
10/16/2025,5.1656
10/15/2025,5.1468
10/14/2025,5.1198
10/13/2025,5.10915
10/10/2025,5.1479
10/9/2025,5.08375
10/8/2025,5.0967
10/7/2025,5.1238
10/6/2025,5.17625
10/3/2025,5.27645
10/2/2025,5.28535
10/1/2025,5.2915
09/30/2025,5.2616
09/29/2025,5.238
09/26/2025,5.20355
09/25/2025,5.1959
09/24/2025,5.22405
09/23/2025,5.26675
09/22/2025,5.26015
09/19/2025,5.2544
09/18/2025,5.25525
09/17/2025,5.2917
09/16/2025,5.31145
09/15/2025,5.2781
9/12/2025,5.26875
9/11/2025,5.29125
9/10/2025,5.28225
9/9/2025,5.2838
9/8/2025,5.2826
9/5/2025,5.2895
9/4/2025,5.25345
9/3/2025,5.2668
9/2/2025,5.26205
9/1/2025,5.2978
08/29/2025,5.30265
08/28/2025,5.3046
08/27/2025,5.28205
08/26/2025,5.287
08/25/2025,5.286
08/22/2025,5.31795
08/21/2025,5.2664
08/20/2025,5.3028
08/19/2025,5.28125
08/18/2025,5.2879
08/15/2025,5.31665
08/14/2025,5.30115
08/13/2025,5.326
8/12/2025,5.30995
8/11/2025,5.2988
8/8/2025,5.3138
8/7/2025,5.33555
8/6/2025,5.3267
8/5/2025,5.31805
8/4/2025,5.33695
8/1/2025,5.3262
07/31/2025,5.207
07/30/2025,5.2508
07/29/2025,5.28755
07/28/2025,5.2843
07/25/2025,5.3156
07/24/2025,5.34005
07/23/2025,5.3579
07/22/2025,5.35335
07/21/2025,5.3261
07/18/2025,5.27265
07/17/2025,5.28145
07/16/2025,5.30835
07/15/2025,5.273
07/14/2025,5.3143
7/11/2025,5.325
7/10/2025,5.36715
7/9/2025,5.36475
7/8/2025,5.35575
7/7/2025,5.37385
7/4/2025,5.43015
7/3/2025,5.4165
7/2/2025,5.4632
7/1/2025,5.47265
06/30/2025,5.45
06/27/2025,5.4263
06/26/2025,5.4363
06/25/2025,5.4041
06/24/2025,5.4164
06/23/2025,5.3708
06/20/2025,5.37315
06/19/2025,5.3964
06/18/2025,5.4094
06/17/2025,5.4033
06/16/2025,5.4235
06/13/2025,5.44745
6/12/2025,5.47015
6/11/2025,5.43
6/10/2025,5.41785
6/9/2025,5.42695
6/6/2025,5.4165
6/5/2025,5.46605
6/4/2025,5.4961
6/3/2025,5.44765
6/2/2025,5.49665
05/30/2025,5.44275
05/29/2025,5.4389
05/28/2025,5.4119
05/27/2025,5.43085
05/26/2025,5.48565
05/23/2025,5.49405
05/22/2025,5.4347
05/21/2025,5.45105
05/20/2025,5.41595
05/19/2025,5.39925
05/16/2025,5.36585
05/15/2025,5.35885
05/14/2025,5.3201
05/13/2025,5.28685
5/12/2025,5.2481
5/9/2025,5.3513
5/8/2025,5.32745
5/7/2025,5.39645
5/6/2025,5.4435
5/5/2025,5.39285
5/2/2025,5.34655
5/1/2025,5.3334
04/30/2025,5.42065
04/29/2025,5.45015
04/28/2025,5.4619
04/25/2025,5.3985
04/24/2025,5.4398
04/23/2025,5.4094
04/22/2025,5.47925
04/21/2025,5.507
04/18/2025,5.4591
04/17/2025,5.4502
04/16/2025,5.4714
04/15/2025,5.4142
04/14/2025,5.4235
4/11/2025,5.4016
4/10/2025,5.3708
4/9/2025,5.2527
4/8/2025,5.3112
4/7/2025,5.2537
4/4/2025,5.2911
4/3/2025,5.3245
4/2/2025,5.2134
4/1/2025,5.2004
03/31/2025,5.1878
03/28/2025,5.19
03/27/2025,5.1472
03/26/2025,5.1624
03/25/2025,5.1859
03/24/2025,5.158
03/21/2025,5.2058
03/20/2025,5.2241
03/19/2025,5.2261
03/18/2025,5.2044
03/17/2025,5.2067
03/14/2025,5.2289
03/13/2025,5.2572
3/12/2025,5.2402
