Date,Price
12/31/2025,9.8188
12/30/2025,9.8288
12/29/2025,9.8529
12/26/2025,9.844
12/25/2025,9.8734
12/24/2025,9.8603
12/23/2025,9.873
12/22/2025,9.8206
12/19/2025,9.7836
12/18/2025,9.7973
12/17/2025,9.7797
12/16/2025,9.7848
12/15/2025,9.7747
12/12/2025,9.7795
12/11/2025,9.7838
12/10/2025,9.727
12/9/2025,9.6526
12/8/2025,9.644
12/5/2025,9.6755
12/4/2025,9.6851
12/3/2025,9.7344
12/2/2025,9.6963
12/1/2025,9.6778
11/28/2025,9.6869
11/27/2025,9.6653
11/26/2025,9.671
11/25/2025,9.6291
11/24/2025,9.626
11/21/2025,9.6259
11/20/2025,9.6584
11/19/2025,9.6717
11/18/2025,9.7358
11/17/2025,9.7658
11/14/2025,9.7901
11/13/2025,9.7997
11/12/2025,9.7414
11/11/2025,9.7079
11/10/2025,9.655
11/7/2025,9.659
11/6/2025,9.6415
11/5/2025,9.5948
11/4/2025,9.5933
11/3/2025,9.6188
10/31/2025,9.6591
10/30/2025,9.6888
10/29/2025,9.7139
10/28/2025,9.7921
10/27/2025,9.7655
10/24/2025,9.7652
10/23/2025,9.7736
10/22/2025,9.7646
10/21/2025,9.7596
10/20/2025,9.8015
10/17/2025,9.795
10/16/2025,9.7997
10/15/2025,9.7605
10/14/2025,9.7049
10/13/2025,9.6755
10/10/2025,9.7383
10/9/2025,9.6512
10/8/2025,9.7041
10/7/2025,9.7505
10/6/2025,9.7884
10/3/2025,9.7831
10/2/2025,9.7536
10/1/2025,9.7646
09/30/2025,9.7724
09/29/2025,9.758
09/26/2025,9.7512
09/25/2025,9.7339
09/24/2025,9.782
09/23/2025,9.8275
09/22/2025,9.8055
09/19/2025,9.7727
09/18/2025,9.8149
09/17/2025,9.8597
09/16/2025,9.9002
09/15/2025,9.7892
9/12/2025,9.7663
9/11/2025,9.7871
9/10/2025,9.7465
9/9/2025,9.7658
9/8/2025,9.8241
9/5/2025,9.7688
9/4/2025,9.6827
9/3/2025,9.7023
9/2/2025,9.7043
9/1/2025,9.7396
08/29/2025,9.7399
08/28/2025,9.7241
08/27/2025,9.7049
08/26/2025,9.7017
08/25/2025,9.6919
08/22/2025,9.7492
08/21/2025,9.6601
08/20/2025,9.7166
08/19/2025,9.6553
08/18/2025,9.6833
08/15/2025,9.704
08/14/2025,9.7001
08/13/2025,9.7488
8/12/2025,9.7328
8/11/2025,9.6609
8/8/2025,9.7132
8/7/2025,9.7314
8/6/2025,9.7328
8/5/2025,9.7171
